N = [10000000]
"0 time scr" = [2.5942877125]
"1 time up0" = [0.018605484399999997]
"2 time up1" = [0.966782962]
"3 time map" = [6.985248026]
"0 mem scr" = [3473.3607788085938]
"1 mem up0" = [24.988082885742188]
"2 mem up1" = [0.0127716064453125]
"3 mem map" = [0.0071258544921875]
"0 gc scr" = [1151.8777470588684]
"1 gc up0" = [0.0]
"2 gc up1" = [0.0]
"3 gc map" = [0.0]
"total time scr" = [9.5795357385]
"total time up0" = [7.0038535104]
"total time up1" = [7.952030988]
"gc % scr" = [12.608454036511866]
nbatches = [
