N = [10000000]
"0 time scr" = [2.8036915725]
"1 time up0" = [0.0154486924]
"2 time up1" = [1.594155828]
"3 time map" = [14.053197841]
"0 mem scr" = [3312.113021850586]
"1 mem up0" = [13.843536376953125]
"2 mem up1" = [0.0065765380859375]
"3 mem map" = [0.0038604736328125]
"0 gc scr" = [849.7942147254944]
"1 gc up0" = [0.0]
"2 gc up1" = [0.0]
"3 gc map" = [0.0]
"total time scr" = [16.8568894135]
"total time up0" = [14.068646533399999]
"total time up1" = [15.647353669]
"gc % scr" = [5.286110602270281]
nbatches = [
