       10000         0.1538381         0.0364989
       20000         0.1583644         0.0250251
       40000         0.1728369         0.0969850
       60000         0.1875766         0.1511305
       80000         0.1867398         0.1067082
      100000         0.2034966         0.1665889
      200000         0.2404168         0.2757131
      400000         0.3319112         0.5246540
      600000         0.5730131         0.4712561
      800000         0.5047219         0.6860353
     1000000         0.4620593         0.6596805
     2000000         0.5226905         0.2953506
     4000000         1.0583430         0.6140115
     6000000         2.4528546         0.6010967
     8000000         3.6192491         1.6270879
    10000000         4.5204171         1.9680170
    20000000        12.0776246               NaN
    40000000        32.9242776               NaN
    60000000        66.0222076               NaN
    80000000       106.6092906               NaN
