       10000         0.0085275         0.0042727
       20000         0.0136597         0.0074574
       40000         0.0237986         0.0110879
       60000         0.0345780         0.0177702
       80000         0.0463102         0.0154223
      100000         0.0581672         0.0284554
      200000         0.1154677         0.0344661
      400000         0.2205001         0.0478801
      600000         0.3395377         0.1153607
      800000         0.4293279         0.0702709
     1000000         0.5326276         0.0538345
     2000000         1.0504928         0.2186737
     4000000         1.9752176         0.1821422
     6000000         3.1179932         0.0415218
     8000000         4.3352782         0.3627402
    10000000         5.5505507               NaN
    20000000        12.3722331               NaN
    40000000        26.5062425               NaN
    60000000        44.6236934               NaN
    80000000        67.2392808               NaN
