       10000         0.0396884         0.0006470
       20000         0.0725995         0.0008333
       40000         0.1184945         0.0009905
       60000         0.1698962         0.0009208
       80000         0.2500111         0.0009316
      100000         0.2933704         0.0013496
      200000         0.5912899         0.0021038
      400000         1.1513686         0.0044762
      600000         1.7108582         0.0022639
      800000         2.3640056         0.0066674
     1000000         3.0325939         0.0024449
     2000000         5.8212012               NaN
     4000000        11.7400274               NaN
     6000000        17.8081703               NaN
     8000000        23.9779794               NaN
    10000000        29.9170404               NaN
    20000000        61.5823326               NaN
    40000000       126.0125379               NaN
    60000000       188.5461037               NaN
    80000000       253.9368270               NaN
