       10000         0.0759393         0.0006415
       20000         0.1391527         0.0008166
       40000         0.2275635         0.0011745
       60000         0.3337567         0.0014727
       80000         0.4911830         0.0012907
      100000         0.5781109         0.0029057
      200000         1.1565363         0.0018233
      400000         2.2891476         0.0464360
      600000         3.4672714         0.0573353
      800000         4.6925554         0.0831235
     1000000         6.0184679               NaN
     2000000        11.6444499               NaN
     4000000        23.1436448               NaN
     6000000        34.6856776               NaN
     8000000        46.6740516               NaN
    10000000        58.2593408               NaN
    20000000       118.3171070               NaN
    40000000       237.1537795               NaN
    60000000       357.7099177               NaN
    80000000       481.7585787               NaN
