       10000         0.0314397         0.0095733
       20000         0.0162166         0.0077775
       40000         0.0363677         0.0256721
       60000         0.0303465         0.0228104
       80000         0.0317223         0.0110271
      100000         0.0379719         0.0139910
      200000         0.0793349         0.0303510
      400000         0.1230905         0.0277292
      600000         0.1972919         0.0952681
      800000         0.2287854         0.1090473
     1000000         0.3044384         0.2019172
     2000000         0.4933052         0.1418162
     4000000         1.0192247         0.3207912
     6000000         2.5222959         1.1606027
     8000000         2.9376496         1.4910331
    10000000         3.6851736         1.8952649
    20000000         9.9283286               NaN
    40000000        26.6327039               NaN
    60000000        48.5275741               NaN
    80000000        80.2371992               NaN
