       10000         0.0124673         0.0008886
       20000         0.0205585         0.0013161
       40000         0.0347925         0.0019838
       60000         0.0496422         0.0039004
       80000         0.0714159         0.0026256
      100000         0.0848970         0.0131532
      200000         0.1704311         0.0185671
      400000         0.3584981         0.0569977
      600000         0.5099210         0.0427844
      800000         0.6889459         0.0566008
     1000000         0.8495054         0.0379166
     2000000         1.6752806         0.0567065
     4000000         3.3159010         0.0244626
     6000000         5.0798378               NaN
     8000000         6.7311495               NaN
    10000000         8.5416170               NaN
    20000000        18.9721818               NaN
    40000000        38.2316840               NaN
    60000000        59.1756177               NaN
    80000000        83.0652950               NaN
