::::::::::::::
001.dat
::::::::::::::
       10000         0.0759393         0.0006415
       20000         0.1391527         0.0008166
       40000         0.2275635         0.0011745
       60000         0.3337567         0.0014727
       80000         0.4911830         0.0012907
      100000         0.5781109         0.0029057
      200000         1.1565363         0.0018233
      400000         2.2891476         0.0464360
      600000         3.4672714         0.0573353
      800000         4.6925554         0.0831235
     1000000         6.0184679               NaN
     2000000        11.6444499               NaN
     4000000        23.1436448               NaN
     6000000        34.6856776               NaN
     8000000        46.6740516               NaN
    10000000        58.2593408               NaN
    20000000       118.3171070               NaN
    40000000       237.1537795               NaN
    60000000       357.7099177               NaN
    80000000       481.7585787               NaN
::::::::::::::
002.dat
::::::::::::::
       10000         0.0396884         0.0006470
       20000         0.0725995         0.0008333
       40000         0.1184945         0.0009905
       60000         0.1698962         0.0009208
       80000         0.2500111         0.0009316
      100000         0.2933704         0.0013496
      200000         0.5912899         0.0021038
      400000         1.1513686         0.0044762
      600000         1.7108582         0.0022639
      800000         2.3640056         0.0066674
     1000000         3.0325939         0.0024449
     2000000         5.8212012               NaN
     4000000        11.7400274               NaN
     6000000        17.8081703               NaN
     8000000        23.9779794               NaN
    10000000        29.9170404               NaN
    20000000        61.5823326               NaN
    40000000       126.0125379               NaN
    60000000       188.5461037               NaN
    80000000       253.9368270               NaN
::::::::::::::
004.dat
::::::::::::::
       10000         0.0220807         0.0012815
       20000         0.0373660         0.0008750
       40000         0.0624937         0.0015940
       60000         0.0900967         0.0019279
       80000         0.1314190         0.0019402
      100000         0.1520456         0.0020626
      200000         0.3149073         0.0217654
      400000         0.6135517         0.0291167
      600000         0.9344711         0.0496552
      800000         1.2784700         0.0340983
     1000000         1.6093433         0.0414079
     2000000         3.1375378         0.0390161
     4000000         6.2320915               NaN
     6000000         9.4677037               NaN
     8000000        13.1605305               NaN
    10000000        16.5130858               NaN
    20000000        33.5821276               NaN
    40000000        67.6102013               NaN
    60000000       103.2770730               NaN
    80000000       140.0598914               NaN
::::::::::::::
008.dat
::::::::::::::
       10000         0.0124673         0.0008886
       20000         0.0205585         0.0013161
       40000         0.0347925         0.0019838
       60000         0.0496422         0.0039004
       80000         0.0714159         0.0026256
      100000         0.0848970         0.0131532
      200000         0.1704311         0.0185671
      400000         0.3584981         0.0569977
      600000         0.5099210         0.0427844
      800000         0.6889459         0.0566008
     1000000         0.8495054         0.0379166
     2000000         1.6752806         0.0567065
     4000000         3.3159010         0.0244626
     6000000         5.0798378               NaN
     8000000         6.7311495               NaN
    10000000         8.5416170               NaN
    20000000        18.9721818               NaN
    40000000        38.2316840               NaN
    60000000        59.1756177               NaN
    80000000        83.0652950               NaN
::::::::::::::
016.dat
::::::::::::::
       10000         0.0085275         0.0042727
       20000         0.0136597         0.0074574
       40000         0.0237986         0.0110879
       60000         0.0345780         0.0177702
       80000         0.0463102         0.0154223
      100000         0.0581672         0.0284554
      200000         0.1154677         0.0344661
      400000         0.2205001         0.0478801
      600000         0.3395377         0.1153607
      800000         0.4293279         0.0702709
     1000000         0.5326276         0.0538345
     2000000         1.0504928         0.2186737
     4000000         1.9752176         0.1821422
     6000000         3.1179932         0.0415218
     8000000         4.3352782         0.3627402
    10000000         5.5505507               NaN
    20000000        12.3722331               NaN
    40000000        26.5062425               NaN
    60000000        44.6236934               NaN
    80000000        67.2392808               NaN
::::::::::::::
032.dat
::::::::::::::
       10000         0.0070468         0.0020706
       20000         0.0105954         0.0036252
       40000         0.0190115         0.0102457
       60000         0.0279944         0.0174043
       80000         0.0327186         0.0102507
      100000         0.0384124         0.0127158
      200000         0.0797800         0.0433955
      400000         0.1482425         0.0653657
      600000         0.2194180         0.0747304
      800000         0.3779439         0.2536255
     1000000         0.4835524         0.3853212
     2000000         0.7675428         0.5246406
     4000000         1.5101580         0.1123794
     6000000         2.3384033         0.1420331
     8000000         3.0410379         0.0537768
    10000000         4.6879180         0.3956084
    20000000        11.1135096               NaN
    40000000        25.5084015               NaN
    60000000        41.8423220               NaN
    80000000        66.7432184               NaN
::::::::::::::
064.dat
::::::::::::::
       10000         0.0314397         0.0095733
       20000         0.0162166         0.0077775
       40000         0.0363677         0.0256721
       60000         0.0303465         0.0228104
       80000         0.0317223         0.0110271
      100000         0.0379719         0.0139910
      200000         0.0793349         0.0303510
      400000         0.1230905         0.0277292
      600000         0.1972919         0.0952681
      800000         0.2287854         0.1090473
     1000000         0.3044384         0.2019172
     2000000         0.4933052         0.1418162
     4000000         1.0192247         0.3207912
     6000000         2.5222959         1.1606027
     8000000         2.9376496         1.4910331
    10000000         3.6851736         1.8952649
    20000000         9.9283286               NaN
    40000000        26.6327039               NaN
    60000000        48.5275741               NaN
    80000000        80.2371992               NaN
::::::::::::::
128.dat
::::::::::::::
       10000         0.1538381         0.0364989
       20000         0.1583644         0.0250251
       40000         0.1728369         0.0969850
       60000         0.1875766         0.1511305
       80000         0.1867398         0.1067082
      100000         0.2034966         0.1665889
      200000         0.2404168         0.2757131
      400000         0.3319112         0.5246540
      600000         0.5730131         0.4712561
      800000         0.5047219         0.6860353
     1000000         0.4620593         0.6596805
     2000000         0.5226905         0.2953506
     4000000         1.0583430         0.6140115
     6000000         2.4528546         0.6010967
     8000000         3.6192491         1.6270879
    10000000         4.5204171         1.9680170
    20000000        12.0776246               NaN
    40000000        32.9242776               NaN
    60000000        66.0222076               NaN
    80000000       106.6092906               NaN
