       10000         0.0070468         0.0020706
       20000         0.0105954         0.0036252
       40000         0.0190115         0.0102457
       60000         0.0279944         0.0174043
       80000         0.0327186         0.0102507
      100000         0.0384124         0.0127158
      200000         0.0797800         0.0433955
      400000         0.1482425         0.0653657
      600000         0.2194180         0.0747304
      800000         0.3779439         0.2536255
     1000000         0.4835524         0.3853212
     2000000         0.7675428         0.5246406
     4000000         1.5101580         0.1123794
     6000000         2.3384033         0.1420331
     8000000         3.0410379         0.0537768
    10000000         4.6879180         0.3956084
    20000000        11.1135096               NaN
    40000000        25.5084015               NaN
    60000000        41.8423220               NaN
    80000000        66.7432184               NaN
