       10000         0.0220807         0.0012815
       20000         0.0373660         0.0008750
       40000         0.0624937         0.0015940
       60000         0.0900967         0.0019279
       80000         0.1314190         0.0019402
      100000         0.1520456         0.0020626
      200000         0.3149073         0.0217654
      400000         0.6135517         0.0291167
      600000         0.9344711         0.0496552
      800000         1.2784700         0.0340983
     1000000         1.6093433         0.0414079
     2000000         3.1375378         0.0390161
     4000000         6.2320915               NaN
     6000000         9.4677037               NaN
     8000000        13.1605305               NaN
    10000000        16.5130858               NaN
    20000000        33.5821276               NaN
    40000000        67.6102013               NaN
    60000000       103.2770730               NaN
    80000000       140.0598914               NaN
